states,family,truth,log_inverse_error,stationary_flow_crossing,normalized_crossing,target_inverse_D,relative_to_target
3,dense,Q,100.0,651.1819197391239,6.511819197391239,4.876157994399584,1.3354405671166236
3,dense,Q,1000.0,5099.64587665608,5.09964587665608,4.876157994399584,1.0458327811595067
3,dense,Q,10000.0,49051.25791382297,4.905125791382297,4.876157994399584,1.0059407010634156
3,dense,Q,1000000.0,4876582.23039613,4.87658223039613,4.876157994399584,1.0000870021022767
3,dense,Q,100000000.0,487616358.40662295,4.876163584066229,4.876157994399584,1.000001146325991
3,dense,P,100.0,885.6860009230161,8.85686000923016,6.5270523254493105,1.3569463775702872
3,dense,P,1000.0,6839.831592613776,6.839831592613776,6.5270523254493105,1.047920447327337
3,dense,P,10000.0,65671.84987407729,6.567184987407729,6.5270523254493105,1.0061486655778658
3,dense,P,1000000.0,6527633.760684546,6.527633760684546,6.5270523254493105,1.0000890808294838
3,dense,P,100000000.0,652705994.3258046,6.527059943258046,6.5270523254493105,1.0000011671131708
3,sticky,Q,100.0,144.92082899096775,1.4492082899096774,1.2636103308354742,1.1468791086501244
3,sticky,Q,1000.0,1288.4772028403681,1.2884772028403682,1.2636103308354742,1.019679224993715
3,sticky,Q,10000.0,12670.596942106551,1.2670596942106551,1.2636103308354742,1.0027297682608374
3,sticky,Q,1000000.0,1263675.8268422128,1.2636758268422128,1.2636103308354742,1.0000518324400651
3,sticky,Q,100000000.0,126361133.41758507,1.2636113341758508,1.2636103308354742,1.0000007940267281
3,sticky,P,100.0,142.56798270569578,1.4256798270569577,1.2411674197665596,1.1486603695455537
3,sticky,P,1000.0,1267.233899723275,1.267233899723275,1.2411674197665596,1.0210015824953076
3,sticky,P,10000.0,12450.772840391432,1.245077284039143,1.2411674197665596,1.0031501505842935
3,sticky,P,1000000.0,1241240.0075126053,1.2412400075126053,1.2411674197665596,1.00005848344461
3,sticky,P,100000000.0,124116848.8500618,1.241168488500618,1.2411674197665596,1.0000008610716342
3,cycle,Q,100.0,9902.03476873925,99.0203476873925,65.81509006714538,1.5045234700183605
3,cycle,Q,1000.0,69907.19551615362,69.90719551615362,65.81509006714538,1.0621757934971057
3,cycle,Q,10000.0,663131.4023113077,66.31314023113077,65.81509006714538,1.007567415975231
3,cycle,Q,1000000.0,65821886.16711099,65.82188616711099,65.81509006714538,1.0001032605130322
3,cycle,Q,100000000.0,6581517621.312354,65.81517621312354,65.81509006714538,1.0000013089092195
3,cycle,P,100.0,10507.196642603782,105.07196642603782,69.67225441472591,1.5080890852274451
3,cycle,P,1000.0,74028.18323505134,74.02818323505134,69.67225441472591,1.0625202795132287
3,cycle,P,10000.0,702018.8150396922,70.20188150396922,69.67225441472591,1.0076016930081046
3,cycle,P,1000000.0,69679472.6751732,69.67947267517319,69.67225441472591,1.000103603084297
3,cycle,P,100000000.0,6967234584.805778,69.67234584805777,69.67225441472591,1.000001312334912
5,dense,Q,100.0,1223.5846111105905,12.235846111105905,6.075463930851968,2.0139772452554188
5,dense,Q,1000.0,6899.837480213163,6.899837480213163,6.075463930851968,1.1356889874985385
5,dense,Q,10000.0,61845.14295544116,6.1845142955441155,6.075463930851968,1.0179493065769638
5,dense,Q,1000000.0,6077111.832330604,6.077111832330604,6.075463930851968,1.0002712387889043
5,dense,Q,100000000.0,607548600.524619,6.07548600524619,6.075463930851968,1.0000036333676692
5,dense,P,100.0,1078.387851518854,10.78387851518854,5.445099477513102,1.9804741051514776
5,dense,P,1000.0,6166.878833353651,6.1668788333536515,5.445099477513102,1.1325557703438327
5,dense,P,10000.0,55411.498542476365,5.541149854247637,5.445099477513102,1.0176397836497202
5,dense,P,1000000.0,5446559.571183163,5.446559571183163,5.445099477513102,1.0002681482085114
5,dense,P,100000000.0,544511909.3278894,5.445119093278894,5.445099477513102,1.0000036024623375
5,sticky,Q,100.0,166.85310707984723,1.6685310707984724,1.2310781402712467,1.3553413193015031
5,sticky,Q,1000.0,1288.2187706777825,1.2882187706777826,1.2310781402712467,1.0464151125240075
5,sticky,Q,10000.0,12393.162414674529,1.2393162414674528,1.2310781402712467,1.0066917776595328
5,sticky,Q,1000000.0,1231254.1687140625,1.2312541687140626,1.2310781402712467,1.0001429872215724
5,sticky,Q,100000000.0,123108102.87449235,1.2310810287449234,1.2310781402712467,1.000002346295968
5,sticky,P,100.0,174.74053708600275,1.7474053708600275,1.2787516713483085,1.366493127643441
5,sticky,P,1000.0,1343.435584064753,1.343435584064753,1.2787516713483085,1.050583638845408
5,sticky,P,10000.0,12885.979709410656,1.2885979709410655,1.2787516713483085,1.0076999309665615
5,sticky,P,1000000.0,1278956.0010411895,1.2789560010411896,1.2787516713483085,1.0001597884072875
5,sticky,P,100000000.0,127875488.97554009,1.2787548897554009,1.2787516713483085,1.0000025168351014
5,cycle,Q,100.0,5217.353163188096,52.17353163188096,22.561894614913133,2.3124623407023144
5,cycle,Q,1000.0,26250.726871844232,26.250726871844233,22.561894614913133,1.1634983373467593
5,cycle,Q,10000.0,230287.39428193637,23.02873942819364,22.561894614913133,1.020691738049868
5,cycle,Q,1000000.0,22568631.944232643,22.568631944232642,22.561894614913133,1.0002986154059534
5,cycle,Q,100000000.0,2256198276.7145576,22.561982767145576,22.561894614913133,1.0000039071289868
5,cycle,P,100.0,7117.158405051219,71.1715840505122,29.96446777532937,2.3751993389019863
5,cycle,P,1000.0,35039.07657840506,35.03907657840506,29.96446777532937,1.169354211165191
5,cycle,P,10000.0,306017.75036410394,30.601775036410395,29.96446777532937,1.0212687662554025
5,cycle,P,1000000.0,29973588.208434675,29.973588208434673,29.96446777532937,1.0003043749408027
5,cycle,P,100000000.0,2996458657.6151133,29.96458657615113,29.96446777532937,1.00000396472324
10,dense,Q,100.0,3386.364369601908,33.86364369601908,6.683889527834233,5.066457719715163
10,dense,Q,1000.0,10042.16818782755,10.042168187827551,6.683889527834233,1.502443771101868
10,dense,Q,10000.0,71370.80271600846,7.137080271600846,6.683889527834233,1.0678034461639974
10,dense,Q,1000000.0,6691151.874771736,6.691151874771736,6.683889527834233,1.0010865450284987
10,dense,Q,100000000.0,668398984.715943,6.68398984715943,6.683889527834233,1.0000150091237714
10,dense,P,100.0,3267.7782870008023,32.67778287000802,6.407771643051643,5.09971089644598
10,dense,P,1000.0,9647.28546246923,9.64728546246923,6.407771643051643,1.5055601229064395
10,dense,P,10000.0,68441.87944711464,6.8441879447114635,6.407771643051643,1.0681073430781596
10,dense,P,1000000.0,6414753.372596291,6.414753372596291,6.407771643051643,1.001089572152937
10,dense,P,100000000.0,640786801.2052517,6.407868012052517,6.407771643051643,1.0000150393937615
10,sticky,Q,100.0,281.3749078179674,2.8137490781796743,1.2556165234590677,2.2409302725868443
10,sticky,Q,1000.0,1440.755851154893,1.440755851154893,1.2556165234590677,1.1474489418041343
10,sticky,Q,10000.0,12811.452357283788,1.2811452357283788,1.2556165234590677,1.0203316154194775
10,sticky,Q,1000000.0,1256222.7580574823,1.2562227580574823,1.2556165234590677,1.000482818270617
10,sticky,Q,100000000.0,125562770.18899427,1.2556277018899427,1.2556165234590677,1.0000089027427292
10,sticky,P,100.0,279.8285782882389,2.7982857828823886,1.255081802262902,2.2295644617244093
10,sticky,P,1000.0,1436.2457851825786,1.4362457851825787,1.255081802262902,1.1443443627284209
10,sticky,P,10000.0,12812.617092640801,1.2812617092640801,1.255081802262902,1.0208591240459197
10,sticky,P,1000000.0,1255774.035869946,1.255774035869946,1.255081802262902,1.0005515446131048
10,sticky,P,100000000.0,125509390.88542725,1.2550939088542725,1.255081802262902,1.0000096460576104
10,cycle,Q,100.0,7866.443141498833,78.66443141498833,13.280407867493558,5.923344538802546
10,cycle,Q,1000.0,20982.76800129763,20.982768001297632,13.280407867493558,1.5799791851767695
10,cycle,Q,10000.0,142794.07891737018,14.279407891737018,13.280407867493558,1.075223595104237
10,cycle,Q,1000000.0,13295816.070188267,13.295816070188268,13.280407867493558,1.0011602205932564
10,cycle,Q,100000000.0,1328061697.8451855,13.280616978451855,13.280407867493558,1.0000157458235006
10,cycle,P,100.0,5578.402713503498,55.784027135034975,9.947375707986195,5.607913963704928
10,cycle,P,1000.0,15432.478347829474,15.432478347829473,9.947375707986195,1.551412030756976
10,cycle,P,10000.0,106685.10265802631,10.668510265802631,9.947375707986195,1.072494955351639
10,cycle,P,1000000.0,9958647.468996745,9.958647468996745,9.947375707986195,1.00113313916569
10,cycle,P,100000000.0,994752964.3934228,9.947529643934228,9.947375707986195,1.0000154750310588
25,dense,Q,100.0,12405.038816668848,124.05038816668848,4.9848576701803795,24.885442348487285
25,dense,Q,1000.0,17944.311749976427,17.94431174997643,4.9848576701803795,3.599764113089934
25,dense,Q,10000.0,66646.38437960832,6.664638437960832,4.9848576701803795,1.3369766759498412
25,dense,Q,1000000.0,5014546.2913046675,5.014546291304668,4.9848576701803795,1.00595576104447
25,dense,Q,100000000.0,498529211.38055044,4.985292113805505,4.9848576701803795,1.0000871526639012
25,dense,P,100.0,12253.920937823588,122.53920937823588,4.935597121356645,24.827636122891974
25,dense,P,1000.0,17740.3407767865,17.7403407767865,4.935597121356645,3.5943656543648808
25,dense,P,10000.0,65963.72160498747,6.596372160498747,4.935597121356645,1.3364891822219083
25,dense,P,1000000.0,4964969.110266576,4.964969110266575,4.935597121356645,1.0059510507417302
25,dense,P,100000000.0,493602703.94164926,4.9360270394164925,4.935597121356645,1.000087105582015
25,sticky,Q,100.0,1009.3976294077206,10.093976294077207,1.2424588908022114,8.124193378792505
25,sticky,Q,1000.0,2174.321382313985,2.174321382313985,1.2424588908022114,1.7500147476993007
25,sticky,Q,10000.0,13536.31850683677,1.3536318506836769,1.2424588908022114,1.089478179684227
25,sticky,Q,1000000.0,1244926.7722046613,1.2449267722046613,1.2424588908022114,1.0019862881747794
25,sticky,Q,100000000.0,124251463.73907758,1.2425146373907758,1.2424588908022114,1.0000448679541651
25,sticky,P,100.0,1040.0748497246614,10.400748497246614,1.26937604316954,8.193591294882719
25,sticky,P,1000.0,2231.653686672542,2.231653686672542,1.26937604316954,1.7580713758393174
25,sticky,P,10000.0,13835.1808390022,1.38351808390022,1.26937604316954,1.089919800633448
25,sticky,P,1000000.0,1271938.2523494507,1.2719382523494507,1.26937604316954,1.0020184792313498
25,sticky,P,100000000.0,126943378.68028975,1.2694337868028975,1.26937604316954,1.0000454897771769
25,cycle,Q,100.0,5303.414366984106,53.03414366984106,2.833819669744042,18.714720712850173
25,cycle,Q,1000.0,8516.690605374224,8.516690605374224,2.833819669744042,3.005374934864318
25,cycle,Q,10000.0,36265.93960105459,3.626593960105459,2.833819669744042,1.279754671345415
25,cycle,Q,1000000.0,2849088.200097911,2.849088200097911,2.833819669744042,1.0053879682313194
25,cycle,Q,100000000.0,283405055.5784238,2.834050555784238,2.833819669744042,1.0000814752055895
25,cycle,P,100.0,5112.230589909949,51.122305899099494,2.811056819924182,18.186151747896126
25,cycle,P,1000.0,8291.484260023015,8.291484260023015,2.811056819924182,2.949596821115358
25,cycle,P,10000.0,35798.57655252121,3.579857655252121,2.811056819924182,1.2734917451254772
25,cycle,P,1000000.0,2826017.339156463,2.8260173391564627,2.811056819924182,1.0053220266222453
25,cycle,P,100000000.0,281128399.63505083,2.8112839963505083,2.811056819924182,1.000080815309287
50,dense,Q,100.0,63172.46844227494,631.7246844227494,6.0479076509992815,104.45342767731763
50,dense,Q,1000.0,70093.46871297696,70.09346871297696,6.0479076509992815,11.589705524256077
50,dense,Q,10000.0,133832.45146979406,13.383245146979407,6.0479076509992815,2.2128719417149374
50,dense,Q,1000000.0,6177739.90326939,6.17773990326939,6.0479076509992815,1.0214673007198873
50,dense,Q,100000000.0,604988517.2783933,6.049885172783933,6.0479076509992815,1.0003269761872644
50,dense,P,100.0,61301.380910789514,613.0138091078951,5.9131955092618895,103.66878756972035
50,dense,P,1000.0,68078.88800109875,68.07888800109875,5.9131955092618895,11.513045339777147
50,dense,P,10000.0,130439.26726456531,13.043926726456531,5.9131955092618895,2.2059014801769563
50,dense,P,1000000.0,6039760.288947608,6.039760288947608,5.9131955092618895,1.0214037874255095
50,dense,P,100000000.0,591512523.5014062,5.915125235014062,5.9131955092618895,1.0003263422880488
50,sticky,Q,100.0,3526.6364776378705,35.26636477637871,1.2520153570546675,28.167677479086105
50,sticky,Q,1000.0,4689.742800490538,4.689742800490538,1.2520153570546675,3.7457550133594464
50,sticky,Q,10000.0,16173.252903658084,1.6173252903658084,1.2520153570546675,1.2917775179455648
50,sticky,Q,1000000.0,1258699.7169988728,1.2586997169988727,1.2520153570546675,1.0053388801555359
50,sticky,Q,100000000.0,125219343.6088198,1.2521934360881979,1.2520153570546675,1.0001422339051411
50,sticky,P,100.0,3542.1144632906758,35.42114463290676,1.253197727727171,28.264609685454328
50,sticky,P,1000.0,4709.770408416631,4.709770408416631,1.253197727727171,3.758202160929849
50,sticky,P,10000.0,16229.679459193547,1.6229679459193547,1.253197727727171,1.2950613538557938
50,sticky,P,1000000.0,1259962.0046650786,1.2599620046650786,1.253197727727171,1.0053976134717186
50,sticky,P,100000000.0,125337554.68710767,1.2533755468710768,1.253197727727171,1.0001418923286975
50,cycle,Q,100.0,11501.29264581141,115.01292645811411,2.0673161541446707,55.63393205607655
50,cycle,Q,1000.0,13909.452955393708,13.909452955393709,2.0673161541446707,6.728265982688357
50,cycle,Q,10000.0,35597.13460583622,3.559713460583622,2.0673161541446707,1.7219008584859696
50,cycle,Q,1000000.0,2100790.4920457494,2.1007904920457494,2.0673161541446707,1.0161921715911557
50,cycle,Q,100000000.0,206788275.6947485,2.0678827569474847,2.0673161541446707,1.0002740765130085
50,cycle,P,100.0,11727.954927992105,117.27954927992104,2.11244839331959,55.51830267229538
50,cycle,P,1000.0,14180.903575667768,14.180903575667768,2.11244839331959,6.713017757268523
50,cycle,P,10000.0,36305.85718815765,3.630585718815765,2.11244839331959,1.7186624441558598
50,cycle,P,1000000.0,2146523.00620719,2.14652300620719,2.11244839331959,1.016130388318767
50,cycle,P,100000000.0,211302603.7945924,2.1130260379459243,2.11244839331959,1.0002734479233486
